Trial,Program,n,W,T
6,mutex homequeue,2,2000,480668
6,mutex awesome,2,2000,762150
6,clh homequeue,2,2000,489410
6,clh awesome,2,2000,780183
6,serial,2,4000,209352
6,lockfree,2,4000,249570
6,mutex homequeue,2,4000,246924
6,mutex awesome,2,4000,402517
6,clh homequeue,2,4000,249127
6,clh awesome,2,4000,404707
6,serial,2,8000,105372
6,lockfree,2,8000,126151
6,mutex homequeue,2,8000,125604
6,mutex awesome,2,8000,207532
6,clh homequeue,2,8000,126458
6,clh awesome,2,8000,208247
6,serial,3,1000,799257
6,lockfree,3,1000,1463020
6,mutex homequeue,3,1000,1394042
6,mutex awesome,3,1000,2142943
6,clh homequeue,3,1000,1439638
6,clh awesome,3,1000,2148977
6,serial,3,2000,412194
6,lockfree,3,2000,744391
6,mutex homequeue,3,2000,727527
6,mutex awesome,3,2000,1161994
6,clh homequeue,3,2000,746212
6,clh awesome,3,2000,1185778
6,serial,3,4000,209487
6,lockfree,3,4000,380845
6,mutex homequeue,3,4000,374299
6,mutex awesome,3,4000,603772
6,clh homequeue,3,4000,379701
6,clh awesome,3,4000,610700
6,serial,3,8000,105000
6,lockfree,3,8000,192541
6,mutex homequeue,3,8000,190234
6,mutex awesome,3,8000,308951
6,clh homequeue,3,8000,192322
6,clh awesome,3,8000,310728
6,serial,7,1000,800779
6,lockfree,7,1000,2952527
6,mutex homequeue,7,1000,2926863
6,mutex awesome,7,1000,3792513
6,clh homequeue,7,1000,2782641
6,clh awesome,7,1000,3499025
6,serial,7,2000,411096
6,lockfree,7,2000,1494646
6,mutex homequeue,7,2000,1553260
6,mutex awesome,7,2000,2687658
6,clh homequeue,7,2000,1560874
6,clh awesome,7,2000,2716196
6,serial,7,4000,208516
6,lockfree,7,4000,787227
6,mutex homequeue,7,4000,788847
6,mutex awesome,7,4000,1411875
6,clh homequeue,7,4000,792959
6,clh awesome,7,4000,1417767
6,serial,7,8000,104930
6,lockfree,7,8000,396383
6,mutex homequeue,7,8000,397876
6,mutex awesome,7,8000,721818
6,clh homequeue,7,8000,397631
6,clh awesome,7,8000,721387
6,serial,13,1000,800306
6,lockfree,13,1000,3109522
6,mutex homequeue,13,1000,3554036
6,mutex awesome,13,1000,2766305
6,clh homequeue,13,1000,3126078
6,clh awesome,13,1000,2080556
6,serial,13,2000,412087
6,lockfree,13,2000,2475251
6,mutex homequeue,13,2000,2766503
6,mutex awesome,13,2000,3349392
6,clh homequeue,13,2000,2749935
6,clh awesome,13,2000,2695972
6,serial,13,4000,209300
6,lockfree,13,4000,1353432
6,mutex homequeue,13,4000,1414308
6,mutex awesome,13,4000,2603726
6,clh homequeue,13,4000,1423406
6,clh awesome,13,4000,2616295
6,serial,13,8000,104923
6,lockfree,13,8000,692253
6,mutex homequeue,13,8000,715668
6,mutex awesome,13,8000,1344687
6,clh homequeue,13,8000,717726
6,clh awesome,13,8000,1344552
6,serial,27,1000,797796
6,lockfree,27,1000,1287406
6,mutex homequeue,27,1000,1467345
6,mutex awesome,27,1000,2060442
6,clh homequeue,27,1000,1109220
6,clh awesome,27,1000,745858
6,serial,27,2000,411021
6,lockfree,27,2000,1043685
6,mutex homequeue,27,2000,381647
6,mutex awesome,27,2000,2652601
6,clh homequeue,27,2000,487526
